steps,success_rate,ep_reward,ep_length,actor_loss,critic_loss
1050,0.0,-0.5355748236179352,150.0,-11.559668450809658,0.00012741839335008297
2100,0.0,-0.5496277809143066,150.0,-10.961154191834584,6.91233866395383e-05
3206,0.0,-0.5022876635193825,138.25,-9.236048456714267,0.00013433575934738786
4256,0.1,-0.4857798729624067,150.0,-10.769050228482202,0.00014618581666582032
5306,0.3,-0.5097002983093262,150.0,-10.303882405417307,0.00013091449314483076
6356,0.0,-0.5486812250954765,150.0,-8.351879494076684,0.0001500459348192505
7406,0.0,-0.5217189959117344,150.0,0.9077298486800418,0.00017407212328353558
8456,0.4,-0.4989595583506993,150.0,-8.743964528129215,0.00017081670977945796
9506,0.1,-0.5411148454461779,150.0,-8.948128783135187,0.00019512888837198262
10556,0.0,-0.5389549902507237,150.0,-9.031722209567116,0.00022060868899730158
11606,0.0,-0.512430054800851,150.0,-8.946552211216519,0.00025751870179235647
12656,0.4,-0.5176988371780941,150.0,-8.936276006244478,0.000246907499476081
13706,0.3,-0.5184112659522465,150.0,-8.865846354166667,0.0002787895063132358
14756,0.0,-0.4743516189711435,150.0,-8.747532686051867,0.0002753301609378208
15806,0.2,-0.5184944868087769,150.0,-8.706286780947732,0.0003113358495154119
16808,0.0,-0.4827001243829727,143.14285714285714,-8.73520560088278,0.00031681008957643866
17936,0.0,-0.46120223216712475,141.0,-8.720317211487355,0.0003363946937460218
18986,0.2,-0.4949582431997572,150.0,-8.563834825243267,0.00038112309636614686
20036,0.0,-0.5184412215437207,150.0,-8.49318388484773,0.0004016451034944372
21086,0.0,-0.48633275287491934,150.0,-8.411157499495006,0.0004381838972802229
22136,0.0,-0.45843914576939176,150.0,-8.467369233085996,0.00044838268923783856
23186,0.0,-0.5043400270598275,150.0,-8.380924186706542,0.0005064633166364816
24236,0.0,-0.5317295832293374,150.0,-8.330327259245374,0.0005476953537921266
25286,0.0,-0.49600738286972046,150.0,-8.275081946509227,0.0005707766491104849
26435,0.0,-0.4938933178782463,143.625,-8.220164531132188,0.0006255295967310653
27538,0.0,-0.5048673897981644,137.875,-8.08664568134074,0.0007364263387447086
28653,0.0,-0.43636872060596943,139.375,-8.044165376883287,0.0007955685707463254
29703,0.1,-0.49465239899499075,150.0,-8.078682497115361,0.0008356934189768731
30753,0.1,-0.5298072695732117,150.0,-8.036789477212087,0.0008686462152815822
31803,0.1,-0.5187144109180996,150.0,-7.983096958342052,0.0009144838772287284
32912,0.1,-0.4345757644623518,138.625,-7.982702136443834,0.0009262945687602288
33962,0.0,-0.5108934002263206,150.0,-7.946090240024385,0.0010092362619304497
35012,0.0,-0.4796644704682486,150.0,-7.89422374225798,0.001061552894991889
36062,0.0,-0.5343938682760511,150.0,-7.8655976122901565,0.0011159838427695266
37112,0.1,-0.5313383766583034,150.0,-7.879554252397446,0.0011692147930097278
38162,0.0,-0.49651509523391724,150.0,-7.89172936394101,0.0012516054596995849
39212,0.0,-0.5506167028631482,150.0,-7.896121400197347,0.0013420112277769173
40262,0.1,-0.5079506167343685,150.0,-7.895284725370861,0.0014356440990342802
41312,0.1,-0.48226272634097506,150.0,-7.8788170115153,0.0015917268655418104
42362,0.1,-0.5209156955991473,150.0,-7.866385698772612,0.0016980879938983846
43489,0.0,-0.44361110404133797,140.875,-7.869810353703313,0.0016948225921686023
44539,0.1,-0.5177465294088636,150.0,-7.852205532618932,0.0018134564063733533
45589,0.2,-0.49592129247529165,150.0,-7.877990804399763,0.001913369954979446
46639,0.1,-0.4957604578563145,150.0,-7.8629732372647245,0.0020759548740239726
47689,0.1,-0.5099616306168693,150.0,-7.853087373461043,0.0021082575029383105
48739,0.3,-0.508386492729187,150.0,-7.845291776657104,0.0022010639960700204
49789,0.0,-0.5338369820799146,150.0,-7.837603425979614,0.0024131720808578563
50839,0.0,-0.5042729931218284,150.0,-7.848609203611102,0.0026254380128479427
51948,0.0,-0.4722462445497513,138.625,-7.826055157770545,0.00265656727514135
52998,0.0,-0.4731195228440421,150.0,-7.8423526364281075,0.002943292765357044
54011,0.1,-0.4472312884671347,144.71428571428572,-7.909023770297373,0.0030504361751373175
55061,0.0,-0.4810627017702375,150.0,-7.929371411913918,0.003163081169616253
56111,0.0,-0.5157539418765477,150.0,-7.848732761655535,0.003447227858261959
57161,0.0,-0.5165195635386876,150.0,-7.860502896535964,0.0037295322863030293
58211,0.5,-0.5003966518810817,150.0,-7.831561472756521,0.0038808076951785814
59261,0.0,-0.5048756556851524,150.0,-7.881732546488444,0.004050257936940484
60311,0.1,-0.5510273235184806,150.0,-7.891721986134847,0.004111062102463274
61361,0.0,-0.5007374158927372,150.0,-7.913932474227178,0.0043174159158730786
62411,0.1,-0.49463787249156405,150.0,-7.929074361891975,0.00457280368710469
63461,0.1,-0.5580371788569859,150.0,-7.86913803191412,0.004978943111463671
64511,0.0,-0.5088742460523333,150.0,-7.87972648302714,0.005270745268512872
65512,0.1,-0.47641910186835695,143.0,-7.8529293802289235,0.0058013652462083265
66562,0.0,-0.5314666330814362,150.0,-7.851323083241781,0.006057593424560591
67612,0.0,-0.5018836004393441,150.0,-7.834633115586781,0.006248108841634044
68662,0.0,-0.46048965624400545,150.0,-7.889102017538889,0.006845916389886823
69692,0.0,-0.477765223809651,147.14285714285714,-7.868943129808476,0.007456207238137722
70742,0.0,-0.5322077402046749,150.0,-7.864716695603869,0.007726684163901068
71856,0.0,-0.4244737848639488,139.25,-7.850755434123179,0.008230352881358462
72906,0.0,-0.5317437946796417,150.0,-7.896878327869233,0.008291939654210139
73956,0.3,-0.5331203937530518,150.0,-7.876938391640073,0.008678004052046509
75006,0.1,-0.48384207487106323,150.0,-7.884473262514388,0.009083507342175359
76056,0.0,-0.5426951519080571,150.0,-7.8811803027561735,0.009649950399817456
77184,0.1,-0.4857222717255354,141.0,-7.873414532282414,0.01064794621301982
78234,0.3,-0.519782692193985,150.0,-7.917991739908855,0.010470336172064502
79284,0.0,-0.46240027035985676,150.0,-7.898387142817179,0.010789416041668682
80334,0.4,-0.48178596581731525,150.0,-7.877754180090768,0.011307658550906041
81384,0.0,-0.5322814668927874,150.0,-7.894714289619809,0.011592165435708705
82434,0.2,-0.5280987620353699,150.0,-7.919629537491572,0.01187709853563103
83484,0.1,-0.5087676218577794,150.0,-7.927771468843733,0.012102308054676368
84534,0.2,-0.4998552884374346,150.0,-7.96090325582595,0.01221110784626078
85584,0.0,-0.5460386276245117,150.0,-7.926984267007738,0.012342836347275548
86634,0.2,-0.5200679387365069,150.0,-7.957017059326171,0.013398550174731228
87684,0.4,-0.5129231342247554,150.0,-7.947329267320179,0.013287719903691184
88734,0.0,-0.5037998812539237,150.0,-7.9681636928376705,0.014303801118041434
89784,0.0,-0.5146672470229012,150.0,-7.94391431445167,0.014698168622507226
90834,0.2,-0.4994263989584787,150.0,-7.968103402001518,0.015163737672070661
91884,0.5,-0.47028875776699613,150.0,-7.952863604681832,0.015782928066771656
92934,0.0,-0.5306618213653564,150.0,-7.945451417196366,0.015801706473298725
93984,0.2,-0.5011963418551854,150.0,-7.89933568068913,0.016258487296068956
95034,0.3,-0.5265639594623021,150.0,-7.930224673861548,0.017565900794718238
96084,0.2,-0.5260040376867566,150.0,-7.963933925174532,0.017548564817046836
97134,0.0,-0.5162589464868818,150.0,-7.978059578850156,0.018550613661784503
